x,y
1.0000000116861E-07,1.02570840453223E-16
1.01237503713492E-07,1.10670761107166E-16
1.02474999152946E-07,1.19292717437794E-16
1.03712501697828E-07,1.28463149806554E-16
1.0495000424271E-07,1.38209422593308E-16
1.06187499682164E-07,1.48560012879483E-16
1.07425002227046E-07,1.59544763121906E-16
1.08662504771928E-07,1.71194588809369E-16
1.09900000211383E-07,1.83541708017335E-16
1.11137502756264E-07,1.96619944112435E-16
1.12374998195719E-07,2.1046429592774E-16
1.13612500740601E-07,2.25111620349539E-16
1.14850003285483E-07,2.40600171237489E-16
1.16087498724937E-07,2.56969903550664E-16
1.17325001269819E-07,2.74262866815718E-16
1.18562496709274E-07,2.92522625146171E-16
1.19800006359583E-07,3.1179525836065E-16
1.21037501799037E-07,3.32128165136749E-16
1.22274997238492E-07,3.5357157653521E-16
1.23512506888801E-07,3.7617803625908E-16
1.24750002328256E-07,4.00001646614212E-16
1.2598749776771E-07,4.25099700913669E-16
1.27225007418019E-07,4.51532038237661E-16
1.28462502857474E-07,4.79360124179031E-16
1.29699998296928E-07,5.08648915831448E-16
1.30937507947237E-07,5.39466056783683E-16
1.32175003386692E-07,5.71880752835537E-16
1.33412498826147E-07,6.05965887343148E-16
1.34650008476456E-07,6.4179701695767E-16
1.3588750391591E-07,6.79450997200136E-16
1.37124999355365E-07,7.19008369063362E-16
1.38362509005674E-07,7.60552112656535E-16
1.39600004445128E-07,8.0416597561033E-16
1.40837499884583E-07,8.49937158488805E-16
1.42075009534892E-07,8.97954784588114E-16
1.43312504974347E-07,9.48307887683473E-16
1.44550000413801E-07,1.00108843596477E-15
1.45787495853256E-07,1.05638883428632E-15
1.47025005503565E-07,1.11430278874362E-15
1.48262500943019E-07,1.17492222942568E-15
1.49499996382474E-07,1.23834088191005E-15
1.50737506032783E-07,1.30465197375878E-15
1.51975001472238E-07,1.37394534205815E-15
1.53212496911692E-07,1.44631152361725E-15
1.54449992351147E-07,1.52183826060718E-15
1.55687502001456E-07,1.60061168931093E-15
1.5692499744091E-07,1.68271221887942E-15
1.58162492880365E-07,1.76821951684581E-15
1.59400002530674E-07,1.85720956814987E-15
1.60637497970129E-07,1.94975108048585E-15
1.61874993409583E-07,2.04591132508345E-15
1.63112503059892E-07,2.14575304502816E-15
1.64349998499347E-07,2.24933070513292E-15
1.65587493938801E-07,2.3566973475454E-15
